carat;cut;color;clarity;price
0.7;4;6;3;2768
0.71;5;7;2;2768
0.74;4;2;3;2769
0.71;5;7;4;2770
0.73;5;4;4;2770
0.76;3;5;3;2770
0.76;4;7;2;2770
0.71;4;5;3;2770
0.73;5;4;4;2770
0.73;5;4;5;2770
0.73;4;7;2;2770
0.73;5;4;4;2770
0.72;3;3;6;2771
0.73;3;5;3;2771
0.71;4;4;4;2771
0.79;4;5;2;2771
0.73;3;3;7;2772
0.8;3;5;2;2772
0.58;4;4;7;2772
0.58;4;5;7;2772
0.71;2;6;4;2772
0.75;4;7;2;2773
0.7;5;7;4;2773
1.17;3;1;1;2774
0.6;4;6;5;2774
0.7;4;6;3;2774
0.83;2;2;4;2774
0.74;3;5;4;2775
0.72;3;4;4;2776
0.71;5;6;4;2776
0.71;4;6;4;2776
0.54;4;6;6;2776
0.54;4;6;6;2776
0.72;4;4;3;2776
0.72;4;4;3;2776
0.72;2;4;4;2776
0.71;4;4;3;2776
0.7;3;7;5;2777
0.71;5;5;4;2777
0.71;3;5;4;2777
0.71;2;5;4;2777
0.71;2;5;4;2777
0.7;4;6;4;2777
0.7;5;6;4;2777
0.7;5;6;3;2777
0.7;5;6;3;2777
0.7;5;6;3;2777
0.7;5;6;3;2777
0.7;5;6;3;2777
0.7;4;6;3;2777
0.72;5;5;3;2777
0.7;3;6;3;2777
0.7;5;6;3;2777
0.7;5;6;3;2777
0.7;2;6;4;2777
0.98;1;3;2;2777
0.78;5;5;3;2777
0.7;3;6;3;2777
0.52;4;5;7;2778
0.73;3;3;4;2779
0.74;4;6;3;2779
0.7;3;5;4;2780
0.77;5;4;4;2780
0.71;4;5;4;2780
0.74;4;4;5;2780
0.7;4;4;5;2780
1.01;5;5;1;2781
0.77;4;3;3;2781
0.78;4;3;3;2781
0.72;3;3;5;2782
0.53;3;7;6;2782
0.76;4;4;4;2782
0.7;2;6;5;2782
0.7;5;6;5;2782
0.75;3;7;2;2782
0.72;4;7;3;2782
0.72;5;7;3;2782
0.7;5;7;3;2782
0.84;1;4;3;2782
0.75;5;5;3;2782
0.52;4;5;8;2783
0.72;3;5;4;2784
0.79;3;3;5;2784
0.72;3;5;4;2787
0.51;4;5;7;2787
0.64;4;7;5;2787
0.7;3;3;7;2788
0.83;3;2;5;2788
0.76;4;2;6;2788
0.71;2;7;4;2788
0.77;2;4;5;2788
0.71;4;5;3;2788
1.01;1;6;1;2788
1.01;5;3;2;2788
0.77;2;5;3;2789
0.76;2;6;3;2789
0.76;5;6;3;2789
0.76;5;6;3;2789
1.05;3;1;2;2789
0.81;4;4;2;2789
0.7;4;6;3;2789
0.55;4;4;8;2789
0.81;2;4;2;2789
0.63;5;6;6;2789
0.63;5;6;7;2789
0.77;5;3;5;2789
1.05;1;1;2;2789
0.64;4;4;8;2790
0.76;5;2;7;2790
0.83;4;5;2;2790
0.71;5;5;5;2790
0.71;5;5;5;2790
0.87;3;2;3;2791
0.73;4;6;3;2791
0.71;5;6;3;2792
0.71;5;6;3;2792
0.71;4;6;3;2792
0.7;5;5;5;2792
0.7;5;5;5;2792
0.76;5;3;6;2792
0.7;4;5;5;2792
0.79;3;4;3;2793
0.7;3;6;4;2793
0.7;2;6;4;2793
0.76;4;2;4;2793
0.73;4;3;4;2793
0.79;3;6;3;2794
0.71;3;6;4;2795
0.81;5;2;6;2795
0.81;4;5;2;2795
0.72;2;5;5;2795
0.72;5;7;2;2795
0.72;5;2;8;2795
0.81;5;3;4;2795
0.72;5;4;4;2795
1;5;2;2;2795
0.73;2;6;3;2796
0.81;3;3;2;2797
0.81;3;6;3;2797
0.71;5;7;3;2797
0.71;5;7;3;2797
0.71;5;7;3;2797
0.57;4;5;6;2797
0.51;4;7;7;2797
0.72;4;4;4;2797
0.74;4;3;5;2797
0.74;4;3;5;2797
0.7;1;4;7;2797
0.8;5;5;2;2797
1.01;1;6;2;2797
0.8;3;3;4;2797
0.77;4;2;5;2798
0.83;3;6;2;2799
0.82;4;5;2;2799
0.78;4;7;3;2799
0.6;3;4;8;2800
0.9;2;2;2;2800
0.7;5;6;5;2800
0.9;3;2;2;2800
0.83;4;4;3;2800
0.83;4;4;3;2800
0.83;3;3;3;2800
0.74;5;4;5;2800
0.79;4;2;5;2800
0.61;4;4;8;2800
0.76;1;4;5;2800
0.96;4;5;1;2801
0.73;4;5;4;2801
0.73;5;5;4;2801
0.75;4;3;3;2801
0.71;5;5;4;2801
0.71;2;5;4;2801
0.71;2;5;4;2801
0.71;5;5;4;2801
1.04;5;4;1;2801
1;5;1;2;2801
0.87;3;4;2;2802
0.53;4;5;8;2802
0.72;5;6;4;2802
0.72;5;5;5;2802
0.7;3;5;4;2803
0.74;3;6;3;2803
0.71;4;4;4;2803
0.73;4;6;3;2803
0.7;2;4;5;2803
0.71;5;5;4;2803
0.71;5;5;4;2803
0.71;5;4;5;2803
0.77;5;4;4;2803
0.71;5;4;4;2803
0.78;5;4;4;2803
0.71;3;4;5;2803
0.91;4;7;2;2803
0.71;3;6;4;2804
0.71;3;6;4;2804
0.8;3;6;2;2804
0.7;3;7;3;2804
0.72;4;5;5;2804
0.72;3;5;5;2804
0.82;4;3;4;2804
0.7;4;7;3;2804
0.72;4;7;3;2804
0.72;4;7;3;2804
0.9;1;2;3;2804
0.74;5;5;4;2805
0.74;5;5;4;2805
0.73;4;6;2;2805
0.57;1;6;7;2805
0.73;5;5;4;2805
0.72;4;4;4;2805
0.74;1;5;4;2805
0.82;2;4;4;2805
0.81;3;4;3;2806
0.75;3;3;7;2806
0.7;4;5;3;2806
0.71;3;5;5;2807
0.71;3;5;5;2807
0.93;5;1;2;2807
0.8;3;3;4;2808
0.7;3;5;5;2808
1;1;4;1;2808
0.75;3;4;4;2808
0.58;4;6;6;2808
0.73;3;7;3;2808
0.81;3;5;3;2809
0.81;5;7;2;2809
0.71;5;5;3;2809
1.2;1;5;1;2809
0.7;3;5;5;2810
0.7;3;5;5;2810
0.74;4;7;2;2810
0.7;2;5;5;2810
0.8;2;4;3;2810
0.75;3;5;3;2811
0.83;3;7;3;2811
1;1;1;4;2811
0.99;1;2;2;2811
0.7;3;4;5;2812
0.7;3;5;4;2812
0.7;2;6;3;2812
0.7;3;5;4;2812
0.32;5;2;3;554
0.32;5;2;3;554
0.32;4;2;3;554
0.32;5;2;3;554
0.32;3;2;3;554
0.32;4;2;3;554
0.3;5;3;3;554
0.3;5;3;3;554
0.3;5;3;3;554
0.3;3;3;3;554
0.3;2;3;3;554
0.3;4;3;3;554
0.3;3;3;3;554
0.32;2;2;3;554
0.33;4;3;2;554
0.29;3;6;5;555
0.29;3;6;5;555
0.31;3;5;3;555
0.34;4;3;4;555
0.34;4;3;4;555
0.34;4;2;5;555
0.34;4;2;5;555
0.3;4;4;5;555
0.29;4;5;5;555
0.35;4;4;3;555
0.43;3;6;1;555
0.32;3;5;4;556
0.36;4;2;4;556
0.3;4;4;4;556
0.26;4;6;5;556
0.7;3;5;4;2812
0.7;3;5;4;2812
0.71;4;7;3;2812
0.99;1;1;3;2812
0.73;5;6;4;2812
0.51;4;5;7;2812
0.91;5;4;2;2813
0.84;3;6;3;2813
0.91;2;2;4;2813
0.76;5;6;3;2814
0.76;4;6;3;2814
0.75;5;6;3;2814
0.55;3;7;7;2815
0.76;3;5;2;2815
0.74;5;4;5;2815
0.7;4;3;3;2815
0.7;4;3;3;2815
0.7;4;3;3;2815
0.7;4;3;3;2815
0.9;1;1;4;2815
0.95;1;5;2;2815
0.89;5;3;2;2815
0.72;5;6;4;2815
0.96;1;6;2;2815
1.02;5;4;1;2815
0.78;3;2;6;2816
0.61;4;4;6;2816
0.71;2;7;5;2816
0.78;5;5;3;2816
0.87;4;3;2;2816
0.83;4;3;3;2816
0.71;5;6;3;2817
0.71;4;2;6;2817
0.71;4;6;4;2817
0.71;5;6;4;2817
0.63;4;5;6;2817
0.71;5;6;3;2817
0.71;5;6;3;2817
0.71;4;6;3;2817
0.71;5;6;3;2817
0.9;4;1;4;2817
0.71;2;6;3;2817
0.7;5;6;4;2818
0.7;5;6;4;2818
0.7;5;6;4;2818
1;5;3;1;2818
0.86;5;5;2;2818
0.8;4;3;3;2818
0.7;4;6;5;2818
0.7;5;6;5;2818
0.7;5;5;4;2818
0.7;5;6;5;2818
1;1;3;2;2818
0.72;3;4;5;2819
0.72;4;3;5;2819
0.7;2;5;5;2819
0.86;2;5;2;2819
0.71;4;4;5;2820
0.75;4;6;3;2821
0.73;5;6;4;2821
0.53;4;6;7;2821
0.73;5;6;3;2821
0.73;2;6;3;2821
0.73;5;6;3;2821
0.73;5;6;3;2821
0.73;5;7;3;2821
0.73;3;6;3;2821
0.7;5;6;5;2822
0.72;5;6;4;2822
0.72;5;6;4;2822
0.72;5;6;4;2822
0.7;5;6;4;2822
0.6;4;5;6;2822
0.74;4;2;7;2822
0.73;4;5;3;2822
0.71;5;7;3;2822
0.71;5;7;3;2822
0.7;5;7;3;2822
0.7;4;7;3;2822
0.9;2;1;4;2822
0.71;4;7;3;2822
0.7;5;6;4;2822
0.7;5;6;4;2822
0.7;4;7;3;2822
0.7;2;6;3;2822
0.7;4;7;3;2822
0.7;4;7;3;2822
0.7;5;6;4;2822
0.7;5;5;4;2822
0.7;4;7;3;2822
0.79;3;7;2;2823
0.9;2;2;3;2823
0.71;5;6;4;2823
0.61;4;6;6;2823
0.9;1;3;2;2823
0.71;4;6;3;2823
0.71;5;7;4;2824
0.77;4;2;6;2824
0.74;2;6;5;2824
0.82;4;5;2;2824
0.82;5;6;2;2824
0.71;5;4;5;2825
0.83;5;3;3;2825
0.73;3;4;5;2825
0.83;5;3;3;2825
1.17;5;1;1;2825
0.91;1;3;2;2825
0.73;5;6;5;2826
0.7;2;6;5;2826
0.9;5;2;2;2826
0.7;5;6;5;2826
0.7;3;7;4;2826
0.7;5;6;5;2826
0.9;3;2;2;2826
0.78;5;5;3;2826
0.96;4;5;1;2826
0.7;3;7;3;2827
0.72;2;7;4;2827
0.79;5;3;6;2827
0.7;4;3;7;2827
0.7;4;3;7;2827
0.7;4;7;2;2828
1.01;5;3;2;2828
0.72;5;5;5;2829
0.8;2;6;2;2829
0.59;4;6;7;2829
0.72;4;5;5;2829
0.75;5;6;2;2829
0.8;5;6;2;2829
0.71;3;6;4;2830
0.77;3;3;3;2830
0.97;4;5;1;2830
0.53;4;5;7;2830
0.53;4;5;7;2830
0.8;4;2;4;2830
0.9;5;4;3;2830
0.76;3;6;2;2831
0.72;4;6;3;2831
0.75;4;6;3;2831
0.72;5;6;3;2831
0.79;4;4;3;2831
0.72;3;5;4;2832
0.91;3;2;2;2832
0.71;5;4;6;2832
0.81;5;4;3;2832
0.82;4;3;3;2832
0.71;5;5;5;2832
0.9;2;1;3;2832
0.8;3;2;4;2833
0.56;3;6;8;2833
0.7;3;7;4;2833
0.7;4;7;4;2833
0.61;4;5;6;2833
0.85;4;3;2;2833
0.7;4;5;3;2833
0.8;4;4;4;2834
0.8;4;3;4;2834
0.51;3;7;7;2834
0.53;4;5;7;2834
0.78;4;2;4;2834
0.9;3;1;3;2834
0.9;1;4;2;2834
0.77;4;6;2;2834
0.73;4;5;5;2835
0.63;4;5;6;2835
0.7;4;6;4;2835
0.72;4;6;4;2835
0.72;4;6;3;2835
0.75;5;5;4;2835
0.82;3;3;3;2836
0.71;2;6;4;2836
0.7;5;6;5;2837
0.7;4;6;5;2837
0.71;4;5;3;2838
0.76;3;3;3;2838
0.82;1;5;3;2838
0.72;5;5;5;2838
0.7;5;5;4;2838
0.7;5;5;4;2838
0.7;5;4;5;2838
0.7;5;5;4;2838
0.7;3;6;3;2838
0.7;5;5;4;2838
0.7;5;5;4;2838
0.7;5;4;5;2838
0.74;3;6;3;2839
0.71;4;5;5;2839
0.7;4;5;5;2839
0.71;4;5;5;2839
0.71;5;5;5;2839
0.71;5;5;5;2839
0.71;5;5;5;2839
0.7;4;5;5;2839
0.73;4;4;4;2839
0.7;4;6;4;2839
0.7;4;4;5;2839
0.71;5;4;6;2839
0.71;5;5;5;2839
0.79;5;4;4;2839
0.71;5;5;5;2839
0.77;3;3;5;2840
0.75;3;5;2;2840
0.7;4;5;3;2840
0.71;5;5;4;2840
0.92;4;7;2;2840
0.83;5;5;2;2840
0.7;5;3;7;2840
0.73;5;5;4;2841
0.71;3;7;5;2841
0.73;3;7;3;2841
0.82;4;5;2;2841
0.82;4;5;2;2841
0.82;3;5;2;2841
0.52;4;5;7;2841
1;5;5;1;2841
0.95;1;4;3;2841
0.73;4;7;3;2841
0.73;5;5;4;2841
0.73;5;4;5;2841
0.8;4;2;5;2842
0.7;5;5;4;2842
0.7;3;6;4;2843
0.7;3;6;4;2843
0.71;3;6;4;2843
0.81;3;5;2;2843
0.71;3;7;3;2843
0.73;4;4;6;2843
0.73;3;5;5;2843
0.72;4;6;4;2843
0.81;4;5;2;2843
0.71;4;4;6;2843
0.73;3;6;3;2844
0.7;3;6;5;2844
1.01;4;2;1;2844
1.01;2;2;1;2844
0.79;4;3;4;2844
0.7;3;6;4;2845
0.7;3;6;4;2845
0.8;2;3;4;2845
1.27;5;3;2;2845
0.79;4;7;3;2846
0.72;3;5;5;2846
0.73;4;3;6;2846
1.01;1;3;2;2846
1.01;2;3;1;2846
0.73;4;6;3;2846
0.7;4;6;3;2846
0.7;2;5;4;2846
0.77;5;6;3;2846
0.77;5;4;4;2846
0.77;5;4;5;2846
0.84;3;3;3;2847
0.72;4;6;3;2847
0.76;5;7;3;2847
0.7;3;4;6;2848
0.54;4;7;6;2848
0.75;1;7;2;2848
0.79;2;6;3;2849
0.74;3;6;5;2849
0.7;3;6;4;2850
0.7;4;5;4;2850
0.75;4;1;3;2850
1.2;3;3;1;2850
0.8;3;5;3;2851
0.66;4;7;5;2851
0.87;3;5;2;2851
0.86;5;3;3;2851
0.74;4;5;3;2851
0.58;3;6;8;2852
0.78;4;2;5;2852
0.74;4;4;3;2852
0.73;4;6;3;2852
0.91;3;2;3;2852
0.71;5;5;4;2853
0.71;2;4;5;2853
0.79;4;7;2;2853
0.79;5;7;2;2853
0.71;5;6;3;2853
0.82;5;2;5;2853
0.78;3;3;5;2854
0.7;3;6;5;2854
1.12;5;3;1;2854
0.73;5;6;4;2854
0.91;1;1;4;2854
0.91;1;1;4;2854
0.91;2;1;4;2854
0.91;1;3;3;2854
0.7;5;6;5;2854
0.68;5;5;6;2854
0.73;3;5;4;2855
1.03;2;1;3;2855
0.74;5;7;4;2855
0.98;1;6;2;2855
1.02;1;2;3;2856
1;1;4;2;2856
1.02;4;3;2;2856
0.6;4;5;6;2856
0.8;4;4;2;2856
0.97;4;5;1;2856
1;1;2;3;2856
0.26;4;6;5;556
0.26;4;6;5;556
0.36;4;3;3;556
0.34;2;4;4;556
0.34;2;6;3;556
0.34;2;6;3;556
0.34;2;6;3;556
0.34;3;4;4;556
0.34;4;6;3;556
0.32;2;6;4;556
0.31;4;2;7;557
0.31;4;2;7;557
0.31;4;2;7;557
0.31;4;2;7;557
0.31;4;2;7;557
0.31;4;2;7;557
0.31;4;4;4;557
0.31;4;3;5;557
0.31;4;3;5;557
0.33;5;4;2;557
0.33;5;5;2;557
0.33;5;4;2;557
0.33;4;4;2;557
0.33;5;5;2;557
0.33;5;1;5;557
0.33;5;1;5;557
0.33;4;1;5;557
0.33;4;2;3;557
0.33;2;2;3;557
0.33;5;2;3;557
1;1;3;2;2856
0.77;5;5;3;2856
0.77;5;5;3;2856
0.7;2;6;6;2857
0.9;3;4;2;2857
0.72;4;6;3;2857
0.9;5;2;4;2857
0.72;5;6;3;2857
0.7;4;4;6;2858
0.81;3;5;3;2858
0.81;3;5;3;2858
0.71;5;6;4;2858
0.7;5;6;4;2858
0.71;5;6;4;2858
0.71;3;6;4;2858
0.92;5;1;3;2858
0.76;4;6;3;2858
0.73;4;7;3;2858
0.71;5;7;4;2858
0.7;2;6;6;2858
0.9;1;4;2;2858
0.71;1;7;4;2858
0.7;4;7;4;2859
0.7;5;7;4;2859
0.77;5;5;5;2859
0.71;4;4;5;2859
0.7;5;7;4;2859
0.75;1;5;5;2859
0.83;5;6;2;2859
0.71;3;5;4;2860
0.9;3;1;2;2860
0.6;4;6;6;2860
0.71;5;7;5;2860
0.53;4;5;7;2860
0.71;5;7;3;2861
0.62;4;4;6;2861
0.62;4;4;6;2861
0.9;5;2;3;2861
0.62;1;5;8;2861
0.82;5;6;2;2861
0.66;5;7;5;2861
0.7;3;7;3;2862
0.8;3;5;3;2862
0.8;3;7;2;2862
0.79;5;5;3;2862
0.71;3;5;7;2862
0.7;4;3;4;2862
0.7;3;6;4;2862
0.79;5;3;5;2862
0.7;5;6;4;2862
1.22;5;6;1;2862
1.01;1;6;2;2862
0.73;5;6;4;2862
0.91;2;2;4;2863
0.71;4;7;3;2863
0.83;5;4;3;2863
0.84;5;5;2;2863
0.71;5;7;3;2863
0.71;5;7;3;2863
0.71;5;7;3;2863
0.71;4;7;3;2863
0.71;5;7;3;2863
0.71;5;7;3;2863
0.91;5;1;3;2863
0.9;5;1;4;2863
0.71;5;3;6;2863
0.71;5;6;3;2863
0.72;4;5;4;2863
0.72;5;6;3;2863
0.71;4;6;4;2863
0.81;4;6;2;2864
0.83;3;2;4;2865
0.73;5;7;3;2865
0.56;3;7;7;2866
0.56;3;7;7;2866
0.71;4;6;5;2866
0.7;4;3;7;2866
0.96;5;2;3;2866
0.71;3;3;7;2867
0.7;4;7;4;2867
0.71;4;3;7;2867
0.8;5;3;4;2867
0.95;5;5;2;2867
0.82;4;5;2;2867
0.52;4;5;7;2867
0.82;4;5;2;2867
0.82;4;5;2;2867
0.82;5;5;2;2867
0.8;4;4;3;2867
0.96;1;5;2;2867
0.72;4;2;5;2868
0.62;4;4;8;2868
0.79;5;6;2;2868
0.75;3;6;3;2868
1.08;5;7;1;2869
0.72;4;6;3;2869
0.62;4;4;8;2869
0.73;4;4;6;2869
0.72;4;3;6;2869
0.52;5;5;6;2870
0.83;4;6;2;2870
0.64;5;6;6;2870
0.8;4;4;3;2870
0.74;4;3;3;2870
0.72;4;5;3;2870
0.82;4;3;4;2870
0.73;5;6;5;2870
1.04;5;2;1;2870
0.73;3;6;3;2871
0.73;2;6;3;2871
0.9;5;1;3;2871
0.75;4;2;3;2871
0.79;4;4;3;2871
0.7;2;7;3;2872
0.75;3;7;3;2872
1.02;4;2;1;2872
0.7;3;4;2;2872
0.7;4;7;3;2872
0.7;2;6;3;2872
0.7;4;7;3;2872
0.7;4;7;3;2872
0.7;3;7;3;2872
0.72;3;6;4;2872
0.74;4;6;3;2872
0.84;2;4;3;2872
0.76;3;5;4;2873
0.77;3;6;3;2873
0.76;4;6;2;2873
1;4;2;2;2873
1;1;3;3;2873
0.9;1;2;3;2873
0.9;5;1;3;2873
0.9;2;1;3;2873
0.9;1;2;3;2873
0.9;1;2;3;2873
0.9;5;1;3;2873
0.78;5;5;4;2874
0.71;5;7;4;2874
0.7;5;5;5;2874
0.7;5;5;5;2874
0.7;5;4;6;2874
0.7;4;5;5;2874
0.7;4;5;5;2874
0.7;4;5;5;2874
0.7;5;4;6;2874
1;1;3;2;2875
0.77;4;3;3;2875
1;1;1;5;2875
1;1;2;3;2875
1;1;3;2;2875
0.73;5;6;5;2876
0.79;5;6;4;2876
0.72;3;3;5;2877
0.71;4;6;5;2877
0.74;4;4;4;2877
0.7;2;3;7;2877
0.7;2;5;5;2877
0.79;3;5;3;2878
0.79;3;5;3;2878
0.79;3;7;2;2878
0.71;4;2;4;2878
0.79;4;5;3;2878
0.73;3;5;3;2879
0.63;5;6;8;2879
0.7;5;5;5;2879
0.71;5;5;5;2879
0.84;4;4;2;2879
0.84;4;4;2;2879
1.02;4;1;2;2879
0.72;1;5;5;2879
0.72;4;5;5;2879
0.92;3;1;2;2880
0.74;3;7;3;2880
0.7;4;3;7;2881
0.71;3;6;4;2881
1.05;5;3;1;2881
0.7;3;3;8;2882
0.54;4;5;7;2882
0.73;5;5;4;2882
0.88;1;5;3;2882
0.73;5;5;4;2882
0.72;4;7;3;2883
0.9;2;3;2;2883
0.9;1;3;2;2883
1.03;1;2;2;2884
0.84;3;5;3;2885
1.01;5;2;3;2885
0.77;4;7;2;2885
0.8;1;6;3;2885
0.9;1;7;2;2885
0.73;4;6;3;2886
0.72;4;6;3;2886
0.71;3;7;3;2887
0.7;5;6;5;2887
0.79;4;2;5;2888
0.72;3;4;6;2889
0.7;3;6;4;2889
0.7;3;5;5;2889
0.9;2;3;2;2889
0.71;3;5;5;2889
0.5;4;6;6;2889
0.5;4;6;6;2889
0.74;4;5;3;2889
0.77;5;5;4;2889
0.77;5;6;3;2889
0.8;4;5;3;2890
0.8;4;5;3;2890
0.8;5;5;3;2890
0.8;2;5;3;2890
0.66;4;4;7;2890
0.71;3;6;4;2891
0.71;4;5;4;2891
0.71;4;6;4;2891
0.71;4;6;4;2891
0.72;4;7;3;2891
0.71;2;7;4;2891
0.86;4;3;2;2892
1.19;1;3;1;2892
0.71;3;5;5;2893
0.82;3;4;2;2893
0.71;4;4;6;2893
0.75;4;5;4;2893
0.7;3;3;7;2893
0.8;4;4;2;2893
0.82;2;4;2;2893
0.82;3;4;3;2893
0.82;5;4;3;2893
0.81;3;6;2;2894
0.81;4;4;2;2894
0.76;4;5;3;2894
0.71;3;4;4;2895
0.7;3;5;5;2895
0.7;4;4;6;2895
0.74;3;4;5;2896
0.77;3;4;4;2896
0.77;3;4;4;2896
0.53;4;5;7;2896
0.79;4;7;3;2896
0.73;4;6;2;2896
0.77;4;7;2;2896
0.77;5;6;3;2896
1.01;3;2;1;2896
1.01;4;2;1;2896
0.6;3;7;6;2897
0.76;5;6;3;2897
0.54;4;7;6;2897
0.72;4;6;3;2897
0.72;2;5;5;2897
0.74;5;7;4;2897
1.12;5;1;2;2898
0.75;4;7;3;2898
0.77;4;7;3;2898
0.98;2;3;2;2898
0.79;4;4;3;2898
0.79;4;4;3;2898
0.79;4;4;3;2898
0.79;4;4;3;2898
0.79;4;4;3;2898
0.79;4;4;3;2898
0.7;2;4;7;2899
0.7;3;5;3;2900
0.72;5;7;5;2900
0.8;5;5;3;2901
0.81;4;6;2;2901
0.81;5;6;2;2901
0.74;4;6;4;2901
0.73;5;6;4;2902
0.73;4;6;4;2902
0.75;4;4;3;2902
0.71;1;6;4;2902
0.71;5;6;4;2902
0.75;5;7;3;2903
0.75;4;7;3;2903
0.72;4;7;3;2903
0.72;5;7;3;2903
0.72;5;6;4;2903
0.79;3;5;3;2904
0.79;3;7;2;2904
0.7;3;6;5;2904
0.62;4;6;6;2904
0.7;3;4;6;2905
0.7;3;4;6;2905
0.7;3;4;6;2905
0.71;3;4;4;2905
0.86;3;2;5;2905
0.53;4;7;7;2905
0.91;3;1;3;2905
0.95;2;2;2;2905
0.91;5;1;3;2905
0.74;3;7;4;2906
0.8;4;2;5;2906
0.74;2;6;3;2906
0.61;4;6;6;2907
0.61;4;6;6;2907
0.61;4;6;6;2907
0.72;4;3;7;2907
0.7;4;5;4;2907
0.71;4;5;5;2907
0.79;4;4;3;2907
0.72;4;6;3;2907
0.33;4;4;2;557
0.39;4;3;2;558
0.32;4;7;3;558
0.25;5;5;5;558
0.25;2;5;5;558
0.25;5;6;5;558
0.25;5;6;5;558
0.31;5;2;4;558
0.31;5;2;4;558
0.31;3;2;4;558
0.31;5;2;4;558
0.31;5;3;3;558
0.31;5;3;3;558
0.31;4;6;2;558
0.31;4;6;2;558
0.31;4;6;2;558
0.31;5;2;4;558
0.31;4;2;4;558
0.31;5;2;4;558
0.31;5;2;4;558
0.31;5;2;4;558
0.31;3;2;4;558
0.31;5;2;4;558
0.31;5;3;3;558
0.31;5;3;3;558
0.31;2;3;3;558
0.31;5;3;3;558
0.31;5;3;3;558
0.31;4;3;3;558
0.31;5;6;2;558
0.82;3;3;3;2908
0.73;4;2;5;2908
0.7;5;7;4;2909
0.7;5;7;4;2909
0.71;4;3;5;2909
0.71;4;3;5;2909
0.9;4;2;2;2909
0.71;3;7;5;2910
1.05;5;2;2;2911
0.59;4;6;6;2911
0.71;4;4;4;2911
